"Model","MeanReward","StDev","DifferenceFromOptimal","Significance","Scenario"
"fl_myopic",164.6,17.27,-0.4,"0.604","constant"
"greedy",164.93,17.04,-0.72,"0.347","constant"
"optimal",164.2,17.39,0,"--","constant"
